id,Name,NAME_1,Russian_Speakers
1,Cherkasy,Cherkasy,6.7
2,Chernihiv,Chernihiv,10.3
3,Chernivtsi,Chernivtsi,5.3
4,Crimea,Crimea,77
5,Dnipropetrovs'k,Dnipropetrovs'k,32
6,Donets'k,Donets'k,74.9
7,Ivano-Frankivs'k,Ivano-Frankivs'k,1.8
8,Kharkiv,Kharkiv,44.3
9,Kherson,Kherson,24.9
10,Khmel'nyts'kyy,Khmel'nyts'kyy,1.2
11,Kiev,Kiev,7.2
12,Kiev City,Kiev City,25.4
13,Kirovohrad,Kirovohrad,3.5
14,Luhans'k,Luhans'k,68.8
15,L'viv,L'viv,3.8
16,Mykolayiv,Mykolayiv,29.3
17,Odessa,Odessa,41.9
18,Poltava,Poltava,9.5
19,Rivne,Rivne,2.7
20,Sevastopol,Sevastopol,90.6
21,Sumy,Sumy,15.6
22,Ternopil,Ternopil,1.2
23,Transcarpathia,Transcarpathia,2.9
24,Vinnytsya,Vinnytsya,4.7
25,Volyn,Volyn,2.5
26,Zaporizhzhya,Zaporizhzhya,48.2
27,Zhytomyr,Zhytomyr,6.2
